Time difference of 2.118694 hours
[1] "==============="
Heteroscedastic Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 720, 720, ... 

Resampling results across tuning parameters:

  gamma  lambda  newdim  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.345  0.0909   3        NaN       NaN      NA           NA  
  0.345  0.0909   4        NaN       NaN      NA           NA  
  0.345  0.0909   5        NaN       NaN      NA           NA  
  0.345  0.0909   6        NaN       NaN      NA           NA  
  0.345  0.0909   7        NaN       NaN      NA           NA  
  0.345  0.0909   8      0.619     0.240  0.0275       0.0552  
  0.345  0.0909   9      0.618     0.238  0.0379       0.0759  
  0.345  0.0909  10      0.609     0.221  0.0427       0.0855  
  0.345  0.0909  11      0.620     0.242  0.0466       0.0935  
  0.345  0.0909  12      0.617     0.236  0.0423       0.0847  
  0.345  0.1818   2        NaN       NaN      NA           NA  
  0.345  0.1818   3        NaN       NaN      NA           NA  
  0.345  0.1818   4        NaN       NaN      NA           NA  
  0.345  0.1818   5        NaN       NaN      NA           NA  
  0.345  0.1818   6        NaN       NaN      NA           NA  
  0.345  0.1818   7        NaN       NaN      NA           NA  
  0.345  0.1818   8      0.617     0.237  0.0298       0.0597  
  0.345  0.1818   9      0.619     0.239  0.0402       0.0806  
  0.345  0.1818  10      0.611     0.224  0.0449       0.0898  
  0.345  0.1818  11      0.621     0.244  0.0456       0.0915  
  0.345  0.1818  12      0.618     0.238  0.0441       0.0884  
  0.345  0.2727   2        NaN       NaN      NA           NA  
  0.345  0.2727   3        NaN       NaN      NA           NA  
  0.345  0.2727   4        NaN       NaN      NA           NA  
  0.345  0.2727   5        NaN       NaN      NA           NA  
  0.345  0.2727   6        NaN       NaN      NA           NA  
  0.345  0.2727   7        NaN       NaN      NA           NA  
  0.345  0.2727   8      0.622     0.247  0.0285       0.0570  
  0.345  0.2727   9      0.621     0.243  0.0361       0.0723  
  0.345  0.2727  10      0.616     0.233  0.0443       0.0886  
  0.345  0.2727  11      0.622     0.247  0.0507       0.1016  
  0.345  0.2727  12      0.620     0.242  0.0454       0.0909  
  0.345  0.3636   2        NaN       NaN      NA           NA  
  0.345  0.3636   3        NaN       NaN      NA           NA  
  0.345  0.3636   4        NaN       NaN      NA           NA  
